variant,scenario_id,k,cbl,ndcg_5
learned_raw_unsmoothed (A7),scenario_k3_030,3,750.359888660897,0.8455349186787962
learned_raw_unsmoothed (A7),scenario_k5_001,5,1413.687030455502,0.8827139839895515
learned_raw_unsmoothed (A7),scenario_k5_002,5,1194.4157866373555,0.9274557566896934
learned_raw_unsmoothed (A7),scenario_k5_003,5,1415.1485170551673,0.9301174063525663
learned_raw_unsmoothed (A7),scenario_k5_004,5,1301.2555099975623,0.8474112393014503
learned_raw_unsmoothed (A7),scenario_k5_005,5,965.1301905688449,0.8993177207748887
learned_raw_unsmoothed (A7),scenario_k5_006,5,1417.8690561239387,0.8879805233983841
learned_raw_unsmoothed (A7),scenario_k5_007,5,891.5179802178019,0.8937518594108257
learned_raw_unsmoothed (A7),scenario_k5_008,5,1295.671689525812,0.9430335658554097
learned_raw_unsmoothed (A7),scenario_k5_009,5,1405.4580288197903,0.8299734327523431
learned_raw_unsmoothed (A7),scenario_k5_010,5,1284.029548876673,0.8701845080865592
learned_raw_unsmoothed (A7),scenario_k5_011,5,1409.7168480725747,0.9359230837750273
learned_raw_unsmoothed (A7),scenario_k5_012,5,1309.0189270202818,0.8989878282778709
learned_raw_unsmoothed (A7),scenario_k5_013,5,1174.9659058612667,0.884667258964804
learned_raw_unsmoothed (A7),scenario_k5_014,5,1405.4580288197903,0.757593389673404
learned_raw_unsmoothed (A7),scenario_k5_015,5,1417.4851759117655,0.9312968585852955
learned_raw_unsmoothed (A7),scenario_k5_016,5,929.175532461267,0.9275387731564485
learned_raw_unsmoothed (A7),scenario_k5_017,5,1269.3196758323966,0.8931736667995375
learned_raw_unsmoothed (A7),scenario_k5_018,5,1412.9494377492583,0.868922917770045
learned_raw_unsmoothed (A7),scenario_k5_019,5,1303.9549948225904,0.9289729697037904
learned_raw_unsmoothed (A7),scenario_k5_020,5,1415.217306830512,0.8824142161446176
learned_raw_unsmoothed (A7),scenario_k5_021,5,977.0520614700209,0.950832559492118
learned_raw_unsmoothed (A7),scenario_k5_022,5,870.2165510824377,0.9567623714103158
learned_raw_unsmoothed (A7),scenario_k5_023,5,938.0976042410429,0.9101707598540151
learned_raw_unsmoothed (A7),scenario_k5_024,5,1405.9284790484758,0.8597049653065051
learned_raw_unsmoothed (A7),scenario_k5_025,5,1046.5377457924938,0.7645759130436045
learned_raw_unsmoothed (A7),scenario_k5_026,5,1286.5726722401264,0.8463073202206187
learned_raw_unsmoothed (A7),scenario_k5_027,5,895.3294513184915,0.8953215431492281
learned_raw_unsmoothed (A7),scenario_k5_028,5,1072.3966523910208,0.8797445008912356
learned_raw_unsmoothed (A7),scenario_k5_029,5,1293.014686015898,0.893390870568009
learned_raw_unsmoothed (A7),scenario_k5_030,5,1293.014686015898,0.9065024500511625
learned_raw_unsmoothed (A7),scenario_k10_001,10,2699.1956428189906,0.5412821063710664
learned_raw_unsmoothed (A7),scenario_k10_002,10,2723.3255136769967,0.5239120544387709
learned_raw_unsmoothed (A7),scenario_k10_003,10,2702.2447938870923,0.504647534023605
learned_raw_unsmoothed (A7),scenario_k10_004,10,2683.9364752680576,0.5042274130487479
learned_raw_unsmoothed (A7),scenario_k10_005,10,2691.3181027426335,0.7353615234233253
learned_raw_unsmoothed (A7),scenario_k10_006,10,2723.2764240718348,0.5367262610806763
learned_raw_unsmoothed (A7),scenario_k10_007,10,2683.9364752680576,0.5121922703382938
learned_raw_unsmoothed (A7),scenario_k10_008,10,2718.1215616693726,0.628044693625357
learned_raw_unsmoothed (A7),scenario_k10_009,10,2712.8163054156953,0.5033314664260954
learned_raw_unsmoothed (A7),scenario_k10_010,10,2728.0754729666282,0.5256678460932734
learned_raw_unsmoothed (A7),scenario_k10_011,10,2717.56677990371,0.5140745899398079
learned_raw_unsmoothed (A7),scenario_k10_012,10,2710.552471314902,0.5456819969167422
learned_raw_unsmoothed (A7),scenario_k10_013,10,2707.612868606455,0.521464310632275
learned_raw_unsmoothed (A7),scenario_k10_014,10,2695.2598254117465,0.5072967790747295
learned_raw_unsmoothed (A7),scenario_k10_015,10,2712.7534869500105,0.673132493651097
learned_raw_unsmoothed (A7),scenario_k10_016,10,2685.8628020916462,0.5360758649745014
learned_raw_unsmoothed (A7),scenario_k10_017,10,2723.2764240718348,0.5566815396939192
learned_raw_unsmoothed (A7),scenario_k10_018,10,2717.56677990371,0.5377961651412254
learned_raw_unsmoothed (A7),scenario_k10_019,10,2702.307612352777,0.661825516128754
learned_raw_unsmoothed (A7),scenario_k10_020,10,2696.134672560477,0.5646716384435033
learned_raw_unsmoothed (A7),scenario_k10_021,10,2702.2447938870923,0.6639551945781166
learned_raw_unsmoothed (A7),scenario_k10_022,10,2719.466337846188,0.5213583699573713
learned_raw_unsmoothed (A7),scenario_k10_023,10,2718.1215616693726,0.5307754389857304
learned_raw_unsmoothed (A7),scenario_k10_024,10,2712.8882990809643,0.6181191100432725
learned_raw_unsmoothed (A7),scenario_k10_025,10,2694.517161996245,0.4756437808237007
learned_raw_unsmoothed (A7),scenario_k10_026,10,2724.1396555593838,0.6661365404391094
learned_raw_unsmoothed (A7),scenario_k10_027,10,2714.5058096451967,0.7041082770971506
learned_raw_unsmoothed (A7),scenario_k10_028,10,2723.2764240718348,0.7237251399661737
learned_raw_unsmoothed (A7),scenario_k10_029,10,2728.146951433514,0.5422723744613628
learned_raw_unsmoothed (A7),scenario_k10_030,10,2720.197932890271,0.6785178798679652
"uniform_constant (A2, no learning)",scenario_k3_001,3,591.911882483277,0.9570965682935049
"uniform_constant (A2, no learning)",scenario_k3_002,3,850.649091986431,0.9000417089931871
"uniform_constant (A2, no learning)",scenario_k3_003,3,736.075734897859,0.9771004942267736
"uniform_constant (A2, no learning)",scenario_k3_004,3,713.8693058126557,1.0
"uniform_constant (A2, no learning)",scenario_k3_005,3,536.7202285551456,0.649004619826336
"uniform_constant (A2, no learning)",scenario_k3_006,3,443.9409229546572,0.9965703666037322
"uniform_constant (A2, no learning)",scenario_k3_007,3,725.5670418349409,0.9828156183151692
"uniform_constant (A2, no learning)",scenario_k3_008,3,850.649091986431,0.6244746010735255
"uniform_constant (A2, no learning)",scenario_k3_009,3,827.8311026456054,0.9702877892347537
"uniform_constant (A2, no learning)",scenario_k3_010,3,370.5489460100756,0.9951502077212953
"uniform_constant (A2, no learning)",scenario_k3_011,3,481.1618002057129,0.6981523558527395
"uniform_constant (A2, no learning)",scenario_k3_012,3,431.75135038746,0.991402478193642
"uniform_constant (A2, no learning)",scenario_k3_013,3,552.6498949359909,0.7242948501251316
"uniform_constant (A2, no learning)",scenario_k3_014,3,737.9953544557764,0.7754433603925803
"uniform_constant (A2, no learning)",scenario_k3_015,3,445.8799706721523,0.9971043061072864
"uniform_constant (A2, no learning)",scenario_k3_016,3,843.2748172918741,0.6351069481050527
"uniform_constant (A2, no learning)",scenario_k3_017,3,557.7564228950013,0.7300335577485509
"uniform_constant (A2, no learning)",scenario_k3_018,3,710.4235836104338,1.0
"uniform_constant (A2, no learning)",scenario_k3_019,3,486.921350633938,0.7875103995775756
"uniform_constant (A2, no learning)",scenario_k3_020,3,539.8896183444515,0.7276331175694161
"uniform_constant (A2, no learning)",scenario_k3_021,3,774.3467681501845,0.5642211815971716
"uniform_constant (A2, no learning)",scenario_k3_022,3,705.0446515751256,1.0
"uniform_constant (A2, no learning)",scenario_k3_023,3,850.5943277030576,0.8384543613655024
"uniform_constant (A2, no learning)",scenario_k3_024,3,604.3059760381611,0.9678885851320617
"uniform_constant (A2, no learning)",scenario_k3_025,3,613.5638327942387,1.0
"uniform_constant (A2, no learning)",scenario_k3_026,3,512.687879394467,0.5726644962876705
"uniform_constant (A2, no learning)",scenario_k3_027,3,844.6390541286667,0.9015413920607183
"uniform_constant (A2, no learning)",scenario_k3_028,3,850.8902309462051,0.7708235233919327
"uniform_constant (A2, no learning)",scenario_k3_029,3,638.9796859785297,0.9093700193273079
"uniform_constant (A2, no learning)",scenario_k3_030,3,671.1358855720871,0.7363861751536898
"uniform_constant (A2, no learning)",scenario_k5_001,5,1413.687030455502,0.7744470282813011
"uniform_constant (A2, no learning)",scenario_k5_002,5,1194.4157866373555,0.8378750171913231
"uniform_constant (A2, no learning)",scenario_k5_003,5,1415.1485170551673,0.9301174063525663
"uniform_constant (A2, no learning)",scenario_k5_004,5,1301.2555099975623,0.8474112393014503
"uniform_constant (A2, no learning)",scenario_k5_005,5,1297.0813653030445,0.547981122830516
"uniform_constant (A2, no learning)",scenario_k5_006,5,1417.8690561239387,0.8879805233983841
"uniform_constant (A2, no learning)",scenario_k5_007,5,1070.6812733010295,0.566817249828891
"uniform_constant (A2, no learning)",scenario_k5_008,5,1295.671689525812,0.9430335658554097
"uniform_constant (A2, no learning)",scenario_k5_009,5,1405.4580288197903,0.5790586882905233
"uniform_constant (A2, no learning)",scenario_k5_010,5,1417.7484866440518,0.5528850895106071
"uniform_constant (A2, no learning)",scenario_k5_011,5,1411.7019392640384,0.870767329026833
"uniform_constant (A2, no learning)",scenario_k5_012,5,1309.0189270202818,0.7970867333582303
"uniform_constant (A2, no learning)",scenario_k5_013,5,1272.3756798499248,0.632230919063608
"uniform_constant (A2, no learning)",scenario_k5_014,5,1266.3825527063505,0.7042477759019435
"uniform_constant (A2, no learning)",scenario_k5_015,5,1417.4851759117655,0.9312968585852955
"uniform_constant (A2, no learning)",scenario_k5_016,5,1050.8773134679234,0.7352731048044163
"uniform_constant (A2, no learning)",scenario_k5_017,5,1272.2567989584427,0.7307229551974187
"uniform_constant (A2, no learning)",scenario_k5_018,5,1412.9494377492583,0.7345468726990839
"uniform_constant (A2, no learning)",scenario_k5_019,5,1303.9549948225904,0.9289729697037904
"uniform_constant (A2, no learning)",scenario_k5_020,5,1417.4851759117655,0.7030017756206933
"uniform_constant (A2, no learning)",scenario_k5_021,5,977.0520614700209,0.9062694686124365
"uniform_constant (A2, no learning)",scenario_k5_022,5,1268.2015351554069,0.6807140893220235
"uniform_constant (A2, no learning)",scenario_k5_023,5,1286.5726722401264,0.5723301765029939
"uniform_constant (A2, no learning)",scenario_k5_024,5,1407.7945753467961,0.5592051099976775
"uniform_constant (A2, no learning)",scenario_k5_025,5,1034.3921479619332,0.6122259727690226
"uniform_constant (A2, no learning)",scenario_k5_026,5,1286.5726722401264,0.6782393239403468
"uniform_constant (A2, no learning)",scenario_k5_027,5,1063.8102937294163,0.5900579868888904
"uniform_constant (A2, no learning)",scenario_k5_028,5,1072.3966523910208,0.8797445008912356
"uniform_constant (A2, no learning)",scenario_k5_029,5,1295.2825550971515,0.7348599229808994
"uniform_constant (A2, no learning)",scenario_k5_030,5,1293.014686015898,0.9065024500511625
"uniform_constant (A2, no learning)",scenario_k10_001,10,2699.1956428189906,0.3848245693841008
"uniform_constant (A2, no learning)",scenario_k10_002,10,2723.3255136769967,0.3714912079505306
"uniform_constant (A2, no learning)",scenario_k10_003,10,2702.2447938870923,0.3491230614435036
"uniform_constant (A2, no learning)",scenario_k10_004,10,2683.9364752680576,0.355436256269674
"uniform_constant (A2, no learning)",scenario_k10_005,10,2691.3181027426335,0.667123657794164
"uniform_constant (A2, no learning)",scenario_k10_006,10,2723.2764240718348,0.3807812740841492
"uniform_constant (A2, no learning)",scenario_k10_007,10,2683.9364752680576,0.3623764698379733
"uniform_constant (A2, no learning)",scenario_k10_008,10,2718.1215616693726,0.5676433390117565
"uniform_constant (A2, no learning)",scenario_k10_009,10,2712.8163054156953,0.3555818901253786
"uniform_constant (A2, no learning)",scenario_k10_010,10,2728.0754729666282,0.37149820641271686
"uniform_constant (A2, no learning)",scenario_k10_011,10,2717.56677990371,0.35526769817732057
"uniform_constant (A2, no learning)",scenario_k10_012,10,2710.552471314902,0.3971437032384675
"uniform_constant (A2, no learning)",scenario_k10_013,10,2707.612868606455,0.3685274980158482
"uniform_constant (A2, no learning)",scenario_k10_014,10,2695.2598254117465,0.34969154583562273
"uniform_constant (A2, no learning)",scenario_k10_015,10,2712.7534869500105,0.6051488974386883
"uniform_constant (A2, no learning)",scenario_k10_016,10,2685.8628020916462,0.37959990548235
"uniform_constant (A2, no learning)",scenario_k10_017,10,2723.2764240718348,0.40440376432290925
"uniform_constant (A2, no learning)",scenario_k10_018,10,2717.56677990371,0.3832145048729736
"uniform_constant (A2, no learning)",scenario_k10_019,10,2702.307612352777,0.6010657445293663
"uniform_constant (A2, no learning)",scenario_k10_020,10,2696.134672560477,0.41007785648129647
"uniform_constant (A2, no learning)",scenario_k10_021,10,2702.2447938870923,0.6000282907809887
"uniform_constant (A2, no learning)",scenario_k10_022,10,2719.466337846188,0.36745857660152187
"uniform_constant (A2, no learning)",scenario_k10_023,10,2718.1215616693726,0.3774126297223349
"uniform_constant (A2, no learning)",scenario_k10_024,10,2712.8882990809643,0.5518877283760597
"uniform_constant (A2, no learning)",scenario_k10_025,10,2694.517161996245,0.32836710403035047
"uniform_constant (A2, no learning)",scenario_k10_026,10,2724.1396555593838,0.5953233066390424
"uniform_constant (A2, no learning)",scenario_k10_027,10,2714.5058096451967,0.6363048864963136
"uniform_constant (A2, no learning)",scenario_k10_028,10,2723.2764240718348,0.6566125995522497
"uniform_constant (A2, no learning)",scenario_k10_029,10,2728.146951433514,0.394787527678772
"uniform_constant (A2, no learning)",scenario_k10_030,10,2720.197932890271,0.6102270697719253
