service,fault_type,capability_id,capability,n_reps,max_magnitude,value_per_min,weighted_max_magnitude
ts-route-service,mem,user_authentication,User Authentication,3,0.0,70.0,0.0
ts-route-service,mem,trip_search,Trip Search,3,0.999713826654806,60.0,59.98282959928836
ts-route-service,mem,order_management,Order Management,3,0.9234822451317296,40.0,36.93928980526918
ts-route-service,mem,baggage_consignment,Baggage Consignment,3,0.0,30.0,0.0
ts-route-service,mem,travel_insurance,Travel Insurance / Assurance,3,0.0,25.0,0.0
ts-route-service,mem,contact_management,Contact Management,3,0.0,20.0,0.0
ts-route-service,mem,food_ordering,Food Ordering,3,0.8647201630034249,15.0,12.970802445051374
ts-route-service,mem,admin_configuration,Admin Configuration,3,0.999836038694868,5.0,4.9991801934743405
ts-route-service,socket,ticket_reservation,Ticket Reservation,3,1.0,100.0,100.0
ts-route-service,socket,payment_processing,Payment Processing,3,0.0,100.0,0.0
ts-route-service,socket,user_authentication,User Authentication,3,0.0,70.0,0.0
ts-route-service,socket,trip_search,Trip Search,3,0.9948115747507248,60.0,59.688694485043484
ts-route-service,socket,order_management,Order Management,3,0.9689720748673808,40.0,38.758882994695234
ts-route-service,socket,baggage_consignment,Baggage Consignment,3,0.0,30.0,0.0
ts-route-service,socket,travel_insurance,Travel Insurance / Assurance,3,0.0,25.0,0.0
ts-route-service,socket,contact_management,Contact Management,3,0.0,20.0,0.0
ts-route-service,socket,food_ordering,Food Ordering,3,0.940652914337125,15.0,14.109793715056874
ts-route-service,socket,admin_configuration,Admin Configuration,3,1.0,5.0,5.0
ts-train-service,cpu,ticket_reservation,Ticket Reservation,3,0.9821428571428572,100.0,98.21428571428572
ts-train-service,cpu,payment_processing,Payment Processing,3,0.0,100.0,0.0
ts-train-service,cpu,user_authentication,User Authentication,3,0.0,70.0,0.0
ts-train-service,cpu,trip_search,Trip Search,3,0.8288960175028826,60.0,49.73376105017295
ts-train-service,cpu,order_management,Order Management,3,0.9591041869522884,40.0,38.36416747809154
ts-train-service,cpu,baggage_consignment,Baggage Consignment,3,0.0,30.0,0.0
ts-train-service,cpu,travel_insurance,Travel Insurance / Assurance,3,0.0,25.0,0.0
ts-train-service,cpu,contact_management,Contact Management,3,0.0,20.0,0.0
ts-train-service,cpu,food_ordering,Food Ordering,3,0.0,15.0,0.0
ts-train-service,cpu,admin_configuration,Admin Configuration,3,1.0,5.0,5.0
ts-train-service,delay,ticket_reservation,Ticket Reservation,3,1.0,100.0,100.0
ts-train-service,delay,payment_processing,Payment Processing,3,0.0,100.0,0.0
ts-train-service,delay,user_authentication,User Authentication,3,0.0,70.0,0.0
ts-train-service,delay,trip_search,Trip Search,3,1.0,60.0,60.0
ts-train-service,delay,order_management,Order Management,3,0.8195138195138194,40.0,32.780552780552775
ts-train-service,delay,baggage_consignment,Baggage Consignment,3,0.0,30.0,0.0
ts-train-service,delay,travel_insurance,Travel Insurance / Assurance,3,0.0,25.0,0.0
ts-train-service,delay,contact_management,Contact Management,3,0.0,20.0,0.0
ts-train-service,delay,food_ordering,Food Ordering,3,0.0,15.0,0.0
ts-train-service,delay,admin_configuration,Admin Configuration,3,1.0,5.0,5.0
ts-train-service,disk,ticket_reservation,Ticket Reservation,3,0.9411764705882352,100.0,94.11764705882352
ts-train-service,disk,payment_processing,Payment Processing,3,0.0,100.0,0.0
ts-train-service,disk,user_authentication,User Authentication,3,0.0,70.0,0.0
ts-train-service,disk,trip_search,Trip Search,3,0.6928779566496919,60.0,41.57267739898151
ts-train-service,disk,order_management,Order Management,3,0.933830382106244,40.0,37.353215284249764
ts-train-service,disk,baggage_consignment,Baggage Consignment,3,0.0,30.0,0.0
ts-train-service,disk,travel_insurance,Travel Insurance / Assurance,3,0.0,25.0,0.0
ts-train-service,disk,contact_management,Contact Management,3,0.0,20.0,0.0
ts-train-service,disk,food_ordering,Food Ordering,3,0.172917581211589,15.0,2.593763718173835
ts-train-service,disk,admin_configuration,Admin Configuration,3,0.8903508771929824,5.0,4.451754385964913
ts-train-service,loss,ticket_reservation,Ticket Reservation,3,0.932867132867133,100.0,93.2867132867133
ts-train-service,loss,payment_processing,Payment Processing,3,0.0,100.0,0.0
ts-train-service,loss,user_authentication,User Authentication,3,0.0,70.0,0.0
ts-train-service,loss,trip_search,Trip Search,3,0.726503406154569,60.0,43.59020436927414
ts-train-service,loss,order_management,Order Management,3,0.8658709860755898,40.0,34.634839443023594
ts-train-service,loss,baggage_consignment,Baggage Consignment,3,0.0,30.0,0.0
ts-train-service,loss,travel_insurance,Travel Insurance / Assurance,3,0.0,25.0,0.0
ts-train-service,loss,contact_management,Contact Management,3,0.0,20.0,0.0
ts-train-service,loss,food_ordering,Food Ordering,3,0.1731891843991271,15.0,2.5978377659869065
ts-train-service,loss,admin_configuration,Admin Configuration,3,0.9617893755824792,5.0,4.808946877912396
ts-train-service,mem,ticket_reservation,Ticket Reservation,3,0.9454545454545455,100.0,94.54545454545456
ts-train-service,mem,payment_processing,Payment Processing,3,0.0,100.0,0.0
ts-train-service,mem,user_authentication,User Authentication,3,0.0,70.0,0.0
ts-train-service,mem,trip_search,Trip Search,3,0.904159536234188,60.0,54.24957217405128
ts-train-service,mem,order_management,Order Management,3,0.9728813559322034,40.0,38.91525423728814
ts-train-service,mem,baggage_consignment,Baggage Consignment,3,0.0,30.0,0.0
ts-train-service,mem,travel_insurance,Travel Insurance / Assurance,3,0.0,25.0,0.0
