scenario_id,k,method,cbl,cbl_oracle,aulc_normalized,kendalls_tau,mrr,precision_at_3,ndcg_1,ndcg_3,ndcg_5
scenario_k5_027,5,B2_severity,661.770843598139,895.3294513184914,-0.9241747385169675,0.39999999999999997,1.0,0.6666666666666666,1.0,0.868186040529406,0.9324585695936972
scenario_k5_027,5,B3_itil,531.2704188239718,895.3294513184914,-1.4405556037703853,0.0,1.0,0.3333333333333333,1.0,1.0,0.9963903745684047
scenario_k5_027,5,B4_pagerank,634.3286017701571,895.3294513184914,-1.0327617305068353,0.19999999999999998,1.0,0.3333333333333333,1.0,0.9641870184533272,0.9618478041945501
scenario_k5_027,5,B6_ppr,974.9935243055334,895.3294513184914,0.31522505010882795,0.19999999999999998,0.5,0.6666666666666666,0.23218064369418348,0.6083314092561298,0.7455879647773911
scenario_k5_027,5,B7_classifier,556.4244865427435,895.3294513184914,-1.3410227533927703,0.19999999999999998,1.0,0.6666666666666666,1.0,0.9239210249790127,0.986216440049895
scenario_k5_027,5,B9_independent,608.4898916779252,895.3294513184914,-1.1350036618840587,-0.19999999999999998,0.5,0.6666666666666666,0.6495624274750635,0.8818596224374615,0.9137832449030494
scenario_k5_028,5,BLAST,812.8428260609012,743.0224581725241,0.2244917381214104,0.0,0.3333333333333333,0.6666666666666666,0.9755332302885493,0.9418427515512654,0.945194409948918
scenario_k5_028,5,B1_random,988.2405964834788,743.0224581725241,0.7884439419788087,0.0,0.5,0.3333333333333333,0.2498118769841708,0.5823514827179138,0.7738430439592171
scenario_k5_028,5,B2_severity,654.5297786287108,743.0224581725241,-0.2845283696237683,0.6,1.0,0.6666666666666666,1.0,0.9892803202976369,0.998599403847072
scenario_k5_028,5,B3_itil,654.5297786287108,743.0224581725241,-0.2845283696237683,0.6,1.0,0.6666666666666666,1.0,0.9892803202976369,0.998599403847072
scenario_k5_028,5,B4_pagerank,800.6035709965172,743.0224581725241,0.1851391576952017,0.19999999999999998,1.0,0.6666666666666666,1.0,0.9487964717782066,0.9517473805631244
scenario_k5_028,5,B6_ppr,1054.0377697944448,743.0224581725241,1.0,0.39999999999999997,1.0,0.6666666666666666,1.0,0.6580126608763343,0.9047263800249266
scenario_k5_028,5,B7_classifier,707.5788525855609,743.0224581725241,-0.11396096675153262,0.6,1.0,0.6666666666666666,1.0,1.0,0.9941357265923983
scenario_k5_028,5,B9_independent,812.8428260609012,743.0224581725241,0.2244917381214104,0.0,0.3333333333333333,0.6666666666666666,0.9755332302885493,0.9418427515512654,0.945194409948918
scenario_k5_029,5,BLAST,852.2615033257656,1293.0146860158977,-3.357503058819965,0.19999999999999998,1.0,0.3333333333333333,1.0,1.0,0.998065631322379
scenario_k5_029,5,B1_random,1293.0146860158977,1293.0146860158977,0.0,0.9999999999999999,1.0,1.0,1.0,0.6198894365167643,0.893390870568009
scenario_k5_029,5,B2_severity,826.5419457022274,1293.0146860158977,-3.553425622249838,0.0,1.0,0.3333333333333333,1.0,1.0,1.0
scenario_k5_029,5,B3_itil,826.5419457022274,1293.0146860158977,-3.553425622249838,0.0,1.0,0.3333333333333333,1.0,1.0,1.0
scenario_k5_029,5,B4_pagerank,1044.99525720912,1293.0146860158977,-1.8893249636519995,0.39999999999999997,1.0,0.6666666666666666,1.0,0.8543205843507558,0.9381402346596018
scenario_k5_029,5,B6_ppr,1173.0799342825374,1293.0146860158977,-0.9136208463562526,0.39999999999999997,0.5,0.6666666666666666,0.21164955126950788,0.7017818555544567,0.7864372635554466
scenario_k5_029,5,B7_classifier,826.5419457022274,1293.0146860158977,-3.553425622249838,0.0,1.0,0.3333333333333333,1.0,1.0,1.0
scenario_k5_029,5,B9_independent,972.8854335452863,1293.0146860158977,-2.4386322926305,-0.19999999999999998,0.5,0.3333333333333333,0.5630433541009079,0.8860057109432941,0.8917675106592252
scenario_k5_030,5,BLAST,861.443858934781,1293.0146860158977,-3.3453487756097484,0.0,1.0,0.3333333333333333,1.0,1.0,0.9995126171927965
scenario_k5_030,5,B1_random,1080.109047689452,1293.0146860158977,-1.6503516266680285,0.39999999999999997,1.0,0.6666666666666666,1.0,0.8508823676469176,0.9377346747854054
scenario_k5_030,5,B2_severity,854.8482439286527,1293.0146860158977,-3.396475105752072,0.19999999999999998,1.0,0.3333333333333333,1.0,1.0,1.0
scenario_k5_030,5,B3_itil,854.8482439286527,1293.0146860158977,-3.396475105752072,0.19999999999999998,1.0,0.3333333333333333,1.0,1.0,1.0
scenario_k5_030,5,B4_pagerank,1293.0146860158977,1293.0146860158977,0.0,0.7999999999999999,1.0,1.0,1.0,0.6496613352840759,0.9050463238725345
scenario_k5_030,5,B6_ppr,1299.8182932596585,1293.0146860158977,0.05273859523031838,-0.19999999999999998,0.25,0.6666666666666666,0.9920385910916566,0.6454874385573719,0.9028692036675793
scenario_k5_030,5,B7_classifier,861.443858934781,1293.0146860158977,-3.3453487756097484,0.0,1.0,0.3333333333333333,1.0,1.0,0.9995126171927965
scenario_k5_030,5,B9_independent,980.1547984024235,1293.0146860158977,-2.4251533613703207,-0.39999999999999997,0.5,0.3333333333333333,0.5630433541009079,0.8860057109432941,0.8950731284535605
scenario_k10_001,10,BLAST,1883.3107739219279,2695.2714649121062,18.874089537616037,-0.19999999999999998,0.5,0.3333333333333333,0.8565690407748227,0.9539231444863798,0.8560663815856745
scenario_k10_001,10,B1_random,2609.777703924578,2695.2714649121062,1.987309136626261,-0.022222222222222223,0.1111111111111111,0.3333333333333333,0.9061209792424857,0.6950942855107507,0.6568896875629264
scenario_k10_001,10,B2_severity,1471.9305980623783,2695.2714649121062,28.436653784051078,-0.1111111111111111,1.0,0.3333333333333333,1.0,1.0,1.0
