value_model,scenario_id,k,cbl_blast,cbl_b9,ndcg5_blast,ndcg5_b9
user_volume_weighted,scenario_k3_024,3,963.9245314609293,963.9245314609293,1.0,1.0
user_volume_weighted,scenario_k3_025,3,1004.8621751413679,1004.8621751413679,1.0,1.0
user_volume_weighted,scenario_k3_026,3,405.04666783396726,405.04666783396726,1.0,1.0
user_volume_weighted,scenario_k3_027,3,1170.859543659446,1145.237316492404,0.9863584547695863,1.0
user_volume_weighted,scenario_k3_028,3,992.0012628223946,992.4963469341376,1.0,0.9997663305616927
user_volume_weighted,scenario_k3_029,3,1020.1347230079946,1020.1347230079946,0.9720643360045258,0.9720643360045258
user_volume_weighted,scenario_k3_030,3,897.7676851938799,897.7676851938799,0.9514815840707223,0.9514815840707223
user_volume_weighted,scenario_k5_001,5,1543.9595483722615,1547.4968504479605,0.9790760413073744,0.992852263803708
user_volume_weighted,scenario_k5_002,5,1536.8518938349478,1719.5697823533233,0.9719683774022604,0.9635264702894554
user_volume_weighted,scenario_k5_003,5,1554.3003732625057,1556.6951290020813,0.9781994608841551,0.9926442697414662
user_volume_weighted,scenario_k5_004,5,1324.392947875685,1437.2454514880415,0.9869543500751652,0.9387010162947366
user_volume_weighted,scenario_k5_005,5,1009.9334514559534,1121.649404407074,1.0,0.9465011889399536
user_volume_weighted,scenario_k5_006,5,1487.2351444472588,1487.7302285590017,1.0,0.9998201065885767
user_volume_weighted,scenario_k5_007,5,805.5543298832251,887.7565007458836,1.0,0.9537619350540899
user_volume_weighted,scenario_k5_008,5,1765.5855233747652,1883.8492998153524,0.984137542650093,0.9360374492866148
user_volume_weighted,scenario_k5_009,5,1151.6659768363982,1067.8927669143736,0.9769911166905023,0.9817195069431803
user_volume_weighted,scenario_k5_010,5,1152.3518763116808,1061.04750014869,0.991018566109877,0.9961005743211
user_volume_weighted,scenario_k5_011,5,1755.328153797642,1758.865455873341,0.985273724176662,0.9839469167794138
user_volume_weighted,scenario_k5_012,5,1786.5591361373715,1903.296112277003,0.9806008934434333,0.9361332365877086
user_volume_weighted,scenario_k5_013,5,1390.008675937502,1415.7904231281914,0.9842828930274828,0.929582334899392
user_volume_weighted,scenario_k5_014,5,1506.8192695858809,1506.8192695858809,0.9284083151710001,0.9284083151710001
user_volume_weighted,scenario_k5_015,5,1666.5192638024885,1670.4037363297634,0.979802629538541,0.9932442563358264
user_volume_weighted,scenario_k5_016,5,981.5941961894475,1100.1132967194912,0.9982762318689183,0.9390006929249132
user_volume_weighted,scenario_k5_017,5,1497.287316958538,1501.6703592930046,0.9804153511418895,0.9261986725165874
user_volume_weighted,scenario_k5_018,5,1264.3626833504097,1224.0827194333463,0.9825046754142323,0.9995819697949071
user_volume_weighted,scenario_k5_019,5,2257.1533453246225,2262.022058172074,0.9831373750763547,0.9340107092100156
user_volume_weighted,scenario_k5_020,5,1139.591211277889,1143.475683805164,0.9983361902631485,0.9965925637674871
user_volume_weighted,scenario_k5_021,5,1521.9404432910296,1721.565883552977,0.9688176412401273,0.9592677192093593
user_volume_weighted,scenario_k5_022,5,1128.0046127786807,1262.089582027938,0.9997127748498307,0.9384513298267106
user_volume_weighted,scenario_k5_023,5,1060.5414849172569,1082.6504787141878,0.9940491531341705,0.9431129159240214
user_volume_weighted,scenario_k5_024,5,1180.6175816680084,1087.2064043487312,0.9908045612903077,0.995914830780782
user_volume_weighted,scenario_k5_025,5,1053.1748656673396,1053.1748656673396,0.93954024869888,0.93954024869888
user_volume_weighted,scenario_k5_026,5,1320.3194853873651,1433.8357995043339,0.9841861211208642,0.9378228132114931
user_volume_weighted,scenario_k5_027,5,998.7016287814836,989.3013197206001,0.9909241923139392,0.9561792619607445
user_volume_weighted,scenario_k5_028,5,1081.8703991419534,1081.8703991419534,0.9931751178366061,0.9931751178366061
user_volume_weighted,scenario_k5_029,5,1418.962849111474,1537.4410441262953,0.9982939063093261,0.937381911904532
user_volume_weighted,scenario_k5_030,5,1429.6579461563244,1548.0635412591212,0.999569244444889,0.9395985570815452
user_volume_weighted,scenario_k10_001,10,2703.97573873065,2612.5433666359277,0.9777832269664183,0.934274173547155
user_volume_weighted,scenario_k10_002,10,2597.7475111467506,2514.502110052581,0.9792873865812893,0.9464425576040906
user_volume_weighted,scenario_k10_003,10,2566.003031632783,2485.7671237864574,0.9793462092756969,0.9452992182020421
user_volume_weighted,scenario_k10_004,10,3052.9522328183702,2964.995145750167,0.9407102285912979,0.8954905423006082
user_volume_weighted,scenario_k10_005,10,3043.354442138526,3477.5512490334027,0.9503174265602693,0.9041515749785364
user_volume_weighted,scenario_k10_006,10,2702.0700714279296,2612.5433666359277,0.9789249151501801,0.9457563792303951
user_volume_weighted,scenario_k10_007,10,3081.491436597214,2991.4275483727242,0.9407326530946548,0.8954890880976888
user_volume_weighted,scenario_k10_008,10,3340.549732841073,3798.9164488382876,0.9440840594619937,0.9119829524675195
user_volume_weighted,scenario_k10_009,10,3030.358734095472,2949.9328132682344,0.9444828686551082,0.9124609817968855
user_volume_weighted,scenario_k10_010,10,2673.32973379552,2584.004162857084,0.9787299470752279,0.9458073492234113
user_volume_weighted,scenario_k10_011,10,2597.501340427357,2519.1262901085743,0.9823429859768164,0.9451134261224752
