scenario_id,k,method,cbl,cbl_oracle,aulc_normalized,kendalls_tau,mrr,precision_at_3,map,ndcg_1,ndcg_3,ndcg_5
re2tt_scenario_k3_030,3,B12_eigenvector,575.9670038108275,607.3387388684193,1.0,0.33333333333333337,1.0,1.0,1.0,1.0,1.0,1.0
re2tt_scenario_k5_001,5,BLAST,1291.0158106094966,1209.2921695568507,-1.0241184506590026,0.0,0.25,0.6666666666666666,1.0,0.9705582370258131,0.7987034015456265,0.944393577835155
re2tt_scenario_k5_001,5,B1_random,1398.787740110355,1209.2921695568507,-2.3746605954203908,-0.39999999999999997,0.2,0.6666666666666666,1.0,0.9705582370258131,0.783198200994207,0.9285377411283302
re2tt_scenario_k5_001,5,B2_severity,1147.7381978660696,1209.2921695568507,0.7713625740103982,0.39999999999999997,0.3333333333333333,1.0,1.0,0.9705582370258131,0.9418553246253786,0.9590220993361932
re2tt_scenario_k5_001,5,B3_itil,1147.8125644461861,1209.2921695568507,0.7704306504466815,0.19999999999999998,0.5,0.6666666666666666,1.0,0.9705582370258131,0.9818170280635532,0.9926826310185154
re2tt_scenario_k5_001,5,B4_pagerank,1335.6535697972506,1209.2921695568507,-1.583495788616857,-0.19999999999999998,0.5,0.3333333333333333,1.0,0.4615879246465311,0.7056751752969483,0.8609080947106381
re2tt_scenario_k5_001,5,B5_betweenness,1128.5603431531022,1209.2921695568507,1.0116895418575047,0.39999999999999997,0.5,0.6666666666666666,1.0,0.9705582370258131,0.9941046087836337,0.9950278072679244
re2tt_scenario_k5_001,5,B6_ppr,1394.2587107815839,1209.2921695568507,-2.317905139600915,-0.6,0.3333333333333333,0.3333333333333333,1.0,0.41629226421094456,0.6551409865258977,0.8182873903490325
re2tt_scenario_k5_001,5,B7_classifier,1178.5895502915766,1209.2921695568507,0.3847493634414823,0.39999999999999997,1.0,0.6666666666666666,1.0,1.0,0.9877124192799196,0.9976548237505911
re2tt_scenario_k5_001,5,B9_independent,1128.5603431531022,1209.2921695568507,1.0116895418575047,0.39999999999999997,0.5,0.6666666666666666,1.0,0.9705582370258131,0.9941046087836337,0.9950278072679244
re2tt_scenario_k5_001,5,B10_pairwise,1127.9968835448199,1209.2921695568507,1.0187505265812673,0.39999999999999997,0.5,1.0,1.0,0.9705582370258131,0.9830077505137385,0.9928218684423711
re2tt_scenario_k5_001,5,B11_closeness,1335.6535697972506,1209.2921695568507,-1.583495788616857,-0.19999999999999998,0.5,0.3333333333333333,1.0,0.4615879246465311,0.7056751752969483,0.8609080947106381
re2tt_scenario_k5_001,5,B12_eigenvector,1407.902397965015,1209.2921695568507,-2.4888807789580807,-0.39999999999999997,0.5,0.3333333333333333,1.0,0.41629226421094456,0.6933875945768682,0.8505447079040824
re2tt_scenario_k5_002,5,BLAST,1251.0630833638013,1251.0630833638013,-0.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.8454876070755708,0.9590058853116472
re2tt_scenario_k5_002,5,B1_random,1032.482445036377,1251.0630833638013,13.014498604905857,0.19999999999999998,0.5,0.6666666666666666,1.0,0.935931497741103,0.9746246063285856,0.9872409479225234
re2tt_scenario_k5_002,5,B2_severity,1251.0630833638013,1251.0630833638013,-0.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.8454876070755708,0.9590058853116472
re2tt_scenario_k5_002,5,B3_itil,1048.301041847562,1251.0630833638013,12.072644341389848,0.6,1.0,0.6666666666666666,1.0,1.0,0.9873731787272033,0.9976695534783419
re2tt_scenario_k5_002,5,B4_pagerank,1033.8820929977317,1251.0630833638013,12.931162237239457,0.19999999999999998,0.5,0.6666666666666666,1.0,0.5285429299865513,0.8774300745332224,0.8997897631388134
re2tt_scenario_k5_002,5,B5_betweenness,1255.1985533156083,1251.0630833638013,-0.2462298048457524,0.19999999999999998,0.5,0.6666666666666666,1.0,0.5285429299865513,0.7675294852161194,0.878557598325102
re2tt_scenario_k5_002,5,B6_ppr,1065.4668165891042,1251.0630833638013,11.050577825638896,0.0,0.3333333333333333,0.6666666666666666,1.0,0.935931497741103,0.9539710341804706,0.9614686783218636
re2tt_scenario_k5_002,5,B7_classifier,1048.301041847562,1251.0630833638013,12.072644341389848,0.6,1.0,0.6666666666666666,1.0,1.0,0.9873731787272033,0.9976695534783419
re2tt_scenario_k5_002,5,B9_independent,1068.043933648701,1251.0630833638013,10.89713383062886,0.6,1.0,0.6666666666666666,1.0,1.0,0.9712422346118037,0.9755891983393945
re2tt_scenario_k5_002,5,B10_pairwise,1032.482445036377,1251.0630833638013,13.014498604905857,0.19999999999999998,0.5,0.6666666666666666,1.0,0.935931497741103,0.9746246063285856,0.9872409479225234
re2tt_scenario_k5_002,5,B11_closeness,1059.4051893640337,1251.0630833638013,11.411492862157209,0.39999999999999997,1.0,0.6666666666666666,1.0,1.0,0.9712422346118037,0.9764883394505228
